,t,P
0,2023-10-05 00:00:00,0.0
1,2023-10-05 00:05:00,0.0
2,2023-10-05 00:10:00,0.0
3,2023-10-05 00:15:00,0.0
4,2023-10-05 00:20:00,0.0
5,2023-10-05 00:25:00,0.0
6,2023-10-05 00:30:00,0.0
7,2023-10-05 00:35:00,0.0
8,2023-10-05 00:40:00,0.0
9,2023-10-05 00:45:00,0.0
10,2023-10-05 00:50:00,0.0
11,2023-10-05 00:55:00,0.0
12,2023-10-05 01:00:00,0.0
13,2023-10-05 01:05:00,0.0
14,2023-10-05 01:10:00,0.0
15,2023-10-05 01:15:00,0.0
16,2023-10-05 01:20:00,0.0
17,2023-10-05 01:25:00,0.0
18,2023-10-05 01:30:00,0.0
19,2023-10-05 01:35:00,0.0
20,2023-10-05 01:40:00,0.0
21,2023-10-05 01:45:00,0.0
22,2023-10-05 01:50:00,0.0
23,2023-10-05 01:55:00,0.0
24,2023-10-05 02:00:00,0.0
25,2023-10-05 02:05:00,0.0
26,2023-10-05 02:10:00,0.0
27,2023-10-05 02:15:00,0.0
28,2023-10-05 02:20:00,0.0
29,2023-10-05 02:25:00,0.0
30,2023-10-05 02:30:00,0.0
31,2023-10-05 02:35:00,0.0
32,2023-10-05 02:40:00,0.0
33,2023-10-05 02:45:00,0.0
34,2023-10-05 02:50:00,0.0
35,2023-10-05 02:55:00,0.0
36,2023-10-05 03:00:00,0.0
37,2023-10-05 03:00:00,0.0
38,2023-10-05 03:05:00,0.0
39,2023-10-05 03:10:00,0.0
40,2023-10-05 03:15:00,0.0
41,2023-10-05 03:20:00,0.0
42,2023-10-05 03:25:00,0.0
43,2023-10-05 03:30:00,0.0
44,2023-10-05 03:35:00,0.0
45,2023-10-05 03:40:00,0.0
46,2023-10-05 03:45:00,0.0
47,2023-10-05 03:50:00,0.0
48,2023-10-05 03:55:00,0.0
49,2023-10-05 04:00:00,0.0
50,2023-10-05 04:05:00,0.0
51,2023-10-05 04:10:00,0.0
52,2023-10-05 04:15:00,0.0
53,2023-10-05 04:20:00,0.0
54,2023-10-05 04:25:00,0.0
55,2023-10-05 04:30:00,0.0
56,2023-10-05 04:35:00,0.0
57,2023-10-05 04:40:00,0.0
58,2023-10-05 04:45:00,0.0
59,2023-10-05 04:50:00,0.0
60,2023-10-05 04:55:00,0.0
61,2023-10-05 05:00:00,0.0
62,2023-10-05 05:05:00,0.0
63,2023-10-05 05:10:00,0.0
64,2023-10-05 05:15:00,0.0
65,2023-10-05 05:20:00,0.0
66,2023-10-05 05:25:00,0.0
67,2023-10-05 05:30:00,0.0
68,2023-10-05 05:35:00,0.0
69,2023-10-05 05:40:00,0.0
70,2023-10-05 05:45:00,0.0
71,2023-10-05 05:50:00,0.0
72,2023-10-05 05:55:00,0.0
73,2023-10-05 06:00:00,0.0
74,2023-10-05 06:00:00,0.0
75,2023-10-05 06:05:00,0.0
76,2023-10-05 06:10:00,0.0
77,2023-10-05 06:15:00,0.0
78,2023-10-05 06:20:00,0.0
79,2023-10-05 06:25:00,0.0
80,2023-10-05 06:30:00,0.0
81,2023-10-05 06:35:00,0.0
82,2023-10-05 06:40:00,0.0
83,2023-10-05 06:45:00,0.0
84,2023-10-05 06:50:00,0.0
85,2023-10-05 06:55:00,0.0
86,2023-10-05 07:00:00,0.0
87,2023-10-05 07:05:00,0.0
88,2023-10-05 07:10:00,0.0
89,2023-10-05 07:15:00,0.0
90,2023-10-05 07:20:00,36.0
91,2023-10-05 07:25:00,36.0
92,2023-10-05 07:30:00,196.0
93,2023-10-05 07:35:00,492.0
94,2023-10-05 07:40:00,755.0
95,2023-10-05 07:45:00,1180.0
96,2023-10-05 07:50:00,1770.0
97,2023-10-05 07:55:00,2186.0
98,2023-10-05 08:00:00,1634.0
99,2023-10-05 08:05:00,2387.0
100,2023-10-05 08:10:00,3060.0
101,2023-10-05 08:15:00,2927.0
102,2023-10-05 08:20:00,2512.0
103,2023-10-05 08:25:00,4011.0
104,2023-10-05 08:30:00,3309.0
105,2023-10-05 08:35:00,5806.0
106,2023-10-05 08:40:00,5724.0
107,2023-10-05 08:45:00,6918.0
108,2023-10-05 08:50:00,7053.0
109,2023-10-05 08:55:00,7299.0
110,2023-10-05 09:00:00,7552.0
111,2023-10-05 09:00:00,7552.0
112,2023-10-05 09:05:00,9092.0
113,2023-10-05 09:10:00,9496.0
114,2023-10-05 09:15:00,8290.0
115,2023-10-05 09:20:00,10614.0
116,2023-10-05 09:25:00,10604.0
117,2023-10-05 09:30:00,11051.0
118,2023-10-05 09:35:00,11482.0
119,2023-10-05 09:40:00,11897.0
120,2023-10-05 09:45:00,13078.0
