,t,5297443_1_7_1,5297443_1_6_1,5297443_1_5_1,5297443_1_4_1,5297443_1_3_1,5297443_1_2_1,5297443_1_1_1,PTot
0,2024-01-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-30 00:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-30 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-30 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-30 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-30 00:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-30 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-30 00:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-30 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-30 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2024-01-30 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024-01-30 00:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-01-30 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2024-01-30 01:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-01-30 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024-01-30 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2024-01-30 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2024-01-30 01:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2024-01-30 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2024-01-30 01:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2024-01-30 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2024-01-30 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2024-01-30 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2024-01-30 01:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2024-01-30 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2024-01-30 02:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2024-01-30 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2024-01-30 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2024-01-30 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
